Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[56.0, 24.0, 1.0, 0.0, 0.0, 24.0, 0, 0, 0, 0]",0,6,0.001,128
1,"[74.0, 41.0, 0.0, 0.0, 0.0, 8.0, 0, 0, 0, 0]",1,6,0.001,128
1,"[78.0, 47.0, 0.0, 0.0, 0.0, 2.0, 0, 0, 0, 0]",2,6,0.001,128
1,"[80.0, 52.0, 1.0, 0.0, 0.0, 1.0, 0, 0, 0, 0]",3,6,0.001,128
1,"[86.0, 53.0, 1.0, 1.0, 0.0, 1.0, 0, 0, 0, 0]",4,6,0.001,128
1,"[87.0, 55.0, 2.0, 1.0, 0.0, 1.0, 0, 0, 0, 0]",5,6,0.001,128
2,"[97.0, 56.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]",0,6,0.001,128
2,"[99.0, 59.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]",1,6,0.001,128
2,"[99.0, 63.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]",2,6,0.001,128
2,"[99.0, 65.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0]",3,6,0.001,128
2,"[99.0, 66.0, 1.0, 3.0, 0.0, 0.0, 0, 0, 0, 0]",4,6,0.001,128
2,"[98.0, 63.0, 1.0, 6.0, 2.0, 0.0, 0, 0, 0, 0]",5,6,0.001,128
3,"[99.0, 60.0, 5.0, 6.0, 1.0, 0.0, 0, 0, 0, 0]",0,6,0.001,128
3,"[99.0, 64.0, 3.0, 1.0, 2.0, 0.0, 0, 0, 0, 0]",1,6,0.001,128
3,"[99.0, 67.0, 3.0, 1.0, 1.0, 0.0, 0, 0, 0, 0]",2,6,0.001,128
3,"[99.0, 68.0, 4.0, 4.0, 0.0, 0.0, 0, 0, 0, 0]",3,6,0.001,128
3,"[92.0, 67.0, 10.0, 17.0, 2.0, 0.0, 0, 0, 0, 0]",4,6,0.001,128
3,"[81.0, 63.0, 13.0, 29.0, 4.0, 1.0, 0, 0, 0, 0]",5,6,0.001,128
4,"[89.0, 53.0, 11.0, 20.0, 13.0, 5.0, 0, 0, 0, 0]",0,6,0.001,128
4,"[97.0, 60.0, 7.0, 6.0, 9.0, 6.0, 0, 0, 0, 0]",1,6,0.001,128
4,"[99.0, 66.0, 8.0, 3.0, 8.0, 4.0, 0, 0, 0, 0]",2,6,0.001,128
4,"[96.0, 66.0, 10.0, 10.0, 5.0, 4.0, 0, 0, 0, 0]",3,6,0.001,128
4,"[87.0, 61.0, 12.0, 21.0, 8.0, 4.0, 0, 0, 0, 0]",4,6,0.001,128
4,"[79.0, 53.0, 16.0, 34.0, 15.0, 6.0, 0, 0, 0, 0]",5,6,0.001,128
5,"[79.0, 51.0, 11.0, 24.0, 26.0, 17.0, 0, 0, 0, 0]",0,6,0.001,128
5,"[97.0, 58.0, 8.0, 12.0, 21.0, 13.0, 0, 0, 0, 0]",1,6,0.001,128
5,"[98.0, 66.0, 12.0, 7.0, 15.0, 11.0, 0, 0, 0, 0]",2,6,0.001,128
5,"[97.0, 71.0, 15.0, 13.0, 9.0, 8.0, 0, 0, 0, 0]",3,6,0.001,128
