Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[10.0, 9.0, 3.0, 62.0, 10.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
1,"[10.0, 9.0, 3.0, 62.0, 10.0, 0, 0, 0, 0, 0]",1,5,1e-05,256
1,"[10.0, 9.0, 3.0, 62.0, 9.0, 0, 0, 0, 0, 0]",2,5,1e-05,256
1,"[10.0, 9.0, 3.0, 62.0, 8.0, 0, 0, 0, 0, 0]",3,5,1e-05,256
1,"[10.0, 9.0, 3.0, 62.0, 10.0, 0, 0, 0, 0, 0]",4,5,1e-05,256
2,"[8.0, 6.0, 3.0, 60.0, 9.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
2,"[8.0, 6.0, 3.0, 60.0, 9.0, 0, 0, 0, 0, 0]",1,5,1e-05,256
2,"[8.0, 6.0, 4.0, 60.0, 9.0, 0, 0, 0, 0, 0]",2,5,1e-05,256
2,"[8.0, 6.0, 4.0, 60.0, 9.0, 0, 0, 0, 0, 0]",3,5,1e-05,256
2,"[8.0, 6.0, 4.0, 60.0, 9.0, 0, 0, 0, 0, 0]",4,5,1e-05,256
3,"[11.0, 13.0, 5.0, 54.0, 15.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
3,"[11.0, 13.0, 5.0, 53.0, 15.0, 0, 0, 0, 0, 0]",1,5,1e-05,256
3,"[11.0, 14.0, 5.0, 53.0, 15.0, 0, 0, 0, 0, 0]",2,5,1e-05,256
3,"[11.0, 15.0, 5.0, 54.0, 15.0, 0, 0, 0, 0, 0]",3,5,1e-05,256
3,"[11.0, 15.0, 5.0, 54.0, 15.0, 0, 0, 0, 0, 0]",4,5,1e-05,256
4,"[9.0, 12.0, 3.0, 58.0, 6.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
4,"[11.0, 12.0, 3.0, 57.0, 6.0, 0, 0, 0, 0, 0]",1,5,1e-05,256
4,"[11.0, 13.0, 3.0, 57.0, 6.0, 0, 0, 0, 0, 0]",2,5,1e-05,256
4,"[11.0, 13.0, 3.0, 58.0, 6.0, 0, 0, 0, 0, 0]",3,5,1e-05,256
4,"[11.0, 12.0, 3.0, 58.0, 6.0, 0, 0, 0, 0, 0]",4,5,1e-05,256
5,"[9.0, 4.0, 5.0, 56.0, 8.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
5,"[9.0, 4.0, 5.0, 56.0, 8.0, 0, 0, 0, 0, 0]",1,5,1e-05,256
5,"[9.0, 4.0, 5.0, 56.0, 8.0, 0, 0, 0, 0, 0]",2,5,1e-05,256
5,"[9.0, 4.0, 5.0, 56.0, 8.0, 0, 0, 0, 0, 0]",3,5,1e-05,256
5,"[9.0, 4.0, 5.0, 56.0, 8.0, 0, 0, 0, 0, 0]",4,5,1e-05,256
6,"[6.0, 12.0, 1.0, 53.0, 10.0, 0, 0, 0, 0, 0]",0,5,1e-05,256
