Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[44.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
1,"[44.0, 29.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
1,"[44.0, 29.0, 53.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
1,"[50.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
1,"[50.0, 37.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
1,"[50.0, 37.0, 47.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
1,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
1,"[56.0, 39.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
1,"[56.0, 39.0, 48.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
2,"[62.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
2,"[62.0, 53.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
2,"[62.0, 53.0, 45.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
2,"[67.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
2,"[67.0, 56.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
2,"[67.0, 56.0, 43.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
2,"[71.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
2,"[71.0, 58.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
2,"[71.0, 58.0, 43.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
3,"[76.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
3,"[76.0, 47.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
3,"[76.0, 47.0, 41.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
3,"[77.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
3,"[77.0, 52.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
3,"[77.0, 52.0, 38.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
3,"[78.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
3,"[78.0, 52.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
3,"[78.0, 52.0, 37.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
4,"[90.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
4,"[90.0, 43.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
4,"[90.0, 43.0, 30.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
4,"[92.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
4,"[92.0, 44.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
4,"[92.0, 44.0, 28.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
4,"[92.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
4,"[92.0, 46.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
4,"[92.0, 46.0, 28.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
5,"[88.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
5,"[88.0, 58.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
5,"[88.0, 58.0, 29.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
5,"[89.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
5,"[89.0, 61.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
5,"[89.0, 61.0, 28.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
5,"[91.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
5,"[91.0, 60.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
5,"[91.0, 60.0, 29.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
6,"[91.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
6,"[91.0, 60.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
6,"[91.0, 60.0, 27.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
6,"[92.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
6,"[92.0, 64.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
6,"[92.0, 64.0, 26.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
6,"[94.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
6,"[94.0, 62.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
6,"[94.0, 62.0, 26.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
7,"[98.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
7,"[98.0, 67.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
7,"[98.0, 67.0, 30.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
7,"[98.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
7,"[98.0, 69.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
7,"[98.0, 69.0, 28.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
7,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
7,"[99.0, 70.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
7,"[99.0, 70.0, 27.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
8,"[91.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
8,"[91.0, 63.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
8,"[91.0, 63.0, 30.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
8,"[92.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
8,"[92.0, 64.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
8,"[92.0, 64.0, 28.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
8,"[93.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
8,"[93.0, 63.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
8,"[93.0, 63.0, 27.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
9,"[97.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
9,"[97.0, 54.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
9,"[97.0, 54.0, 31.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
9,"[97.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
9,"[97.0, 57.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
9,"[97.0, 57.0, 32.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
9,"[97.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
9,"[97.0, 59.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
9,"[97.0, 59.0, 33.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
10,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
10,"[99.0, 70.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
10,"[99.0, 70.0, 29.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
10,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
10,"[99.0, 71.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
10,"[99.0, 71.0, 29.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
10,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
10,"[99.0, 71.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
10,"[99.0, 71.0, 29.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
11,"[94.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
11,"[94.0, 65.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
11,"[94.0, 65.0, 23.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
11,"[94.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
11,"[94.0, 67.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
11,"[94.0, 67.0, 24.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
11,"[95.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
11,"[95.0, 66.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,0.001,32
11,"[95.0, 66.0, 23.0, 0, 0, 0, 0, 0, 0, 0]",2,3,0.001,32
12,"[93.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,0.001,32
