Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
1,"[0.0, 23.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
1,"[0.0, 23.0, 86.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
1,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
1,"[0.0, 23.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
1,"[0.0, 23.0, 86.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
1,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
1,"[0.0, 23.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
1,"[0.0, 23.0, 86.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
2,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
2,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
2,"[0.0, 13.0, 88.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
2,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
2,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
2,"[0.0, 13.0, 88.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
2,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
2,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
2,"[0.0, 13.0, 88.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
3,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
3,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
3,"[1.0, 11.0, 87.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
3,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
3,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
3,"[1.0, 11.0, 87.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
3,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
3,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
3,"[1.0, 11.0, 87.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
4,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
4,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
4,"[0.0, 17.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
4,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
4,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
4,"[0.0, 17.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
4,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
4,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
4,"[0.0, 17.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
5,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
5,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
5,"[0.0, 17.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
5,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
5,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
5,"[0.0, 17.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
5,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
5,"[0.0, 17.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
5,"[0.0, 17.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
6,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
6,"[1.0, 15.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
6,"[1.0, 15.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
6,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
6,"[1.0, 15.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
6,"[1.0, 15.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
6,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
6,"[1.0, 15.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
6,"[1.0, 15.0, 89.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
7,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
7,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
7,"[1.0, 11.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
7,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
7,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
7,"[1.0, 11.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
7,"[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
7,"[1.0, 11.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
7,"[1.0, 11.0, 92.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
8,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
8,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
8,"[0.0, 13.0, 85.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
8,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
8,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
8,"[0.0, 13.0, 85.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
8,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
8,"[0.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
8,"[0.0, 13.0, 85.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
9,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
9,"[0.0, 14.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
9,"[0.0, 14.0, 90.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
9,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
9,"[0.0, 14.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
9,"[0.0, 14.0, 90.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
9,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
9,"[0.0, 14.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
9,"[0.0, 14.0, 90.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
10,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
10,"[0.0, 14.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
10,"[0.0, 14.0, 87.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
10,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
10,"[0.0, 14.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3,1e-06,32
10,"[0.0, 14.0, 87.0, 0, 0, 0, 0, 0, 0, 0]",2,3,1e-06,32
10,"[0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,1e-06,32
