Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
1,"[100.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
1,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
1,"[100.0, 12.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
2,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
2,"[100.0, 15.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
2,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
2,"[100.0, 16.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
3,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
3,"[99.0, 16.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
3,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
3,"[99.0, 20.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
4,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
4,"[100.0, 24.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
4,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
4,"[100.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
5,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
5,"[99.0, 30.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
5,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
5,"[99.0, 32.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
6,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
6,"[99.0, 40.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
6,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
6,"[99.0, 43.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
7,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
7,"[100.0, 42.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
7,"[100.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
7,"[100.0, 45.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
8,"[99.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,32
8,"[99.0, 45.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,32
