Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[39.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
1,"[39.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
1,"[41.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
1,"[41.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
2,"[42.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
2,"[42.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
2,"[43.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
2,"[43.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
3,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
3,"[52.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
3,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
3,"[52.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
4,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
4,"[56.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
4,"[58.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
4,"[58.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
5,"[47.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
5,"[47.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
5,"[51.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
5,"[51.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
6,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
6,"[52.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
6,"[53.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
6,"[53.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
7,"[59.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
7,"[59.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
7,"[59.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
7,"[59.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
8,"[61.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
8,"[61.0, 67.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
8,"[62.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
8,"[62.0, 67.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
9,"[63.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
9,"[63.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
9,"[64.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
9,"[64.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
10,"[54.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
10,"[54.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
10,"[54.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
10,"[54.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
11,"[61.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
11,"[61.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
11,"[61.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
11,"[61.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
12,"[70.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
12,"[70.0, 76.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
12,"[71.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
12,"[71.0, 76.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
13,"[70.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
13,"[70.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
13,"[70.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
13,"[70.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
14,"[60.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
14,"[60.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
14,"[61.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
14,"[61.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
15,"[65.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
15,"[65.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
15,"[66.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.0001,32
15,"[66.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.0001,32
