Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[34.0, 13.0, 65.0, 5.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
1,"[39.0, 16.0, 51.0, 6.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
1,"[39.0, 17.0, 52.0, 4.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
1,"[38.0, 17.0, 59.0, 6.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
2,"[47.0, 17.0, 54.0, 7.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
2,"[56.0, 19.0, 46.0, 6.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
2,"[56.0, 22.0, 50.0, 5.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
2,"[53.0, 23.0, 54.0, 7.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
3,"[46.0, 16.0, 48.0, 10.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
3,"[52.0, 18.0, 45.0, 10.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
3,"[53.0, 19.0, 46.0, 8.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
3,"[51.0, 19.0, 49.0, 11.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
4,"[63.0, 23.0, 53.0, 13.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
4,"[66.0, 26.0, 45.0, 11.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
4,"[66.0, 29.0, 48.0, 10.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
4,"[66.0, 29.0, 52.0, 14.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
5,"[69.0, 30.0, 54.0, 10.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
5,"[73.0, 34.0, 43.0, 10.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
5,"[73.0, 35.0, 47.0, 10.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
5,"[71.0, 34.0, 54.0, 11.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
6,"[77.0, 32.0, 43.0, 17.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
6,"[82.0, 41.0, 35.0, 17.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
6,"[81.0, 40.0, 37.0, 15.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
6,"[80.0, 39.0, 44.0, 17.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
7,"[76.0, 32.0, 35.0, 15.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
7,"[79.0, 35.0, 26.0, 15.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
7,"[78.0, 37.0, 35.0, 14.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
7,"[76.0, 36.0, 39.0, 15.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
8,"[85.0, 35.0, 31.0, 12.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
8,"[88.0, 39.0, 28.0, 11.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
8,"[88.0, 41.0, 30.0, 10.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
8,"[86.0, 39.0, 31.0, 12.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
9,"[80.0, 50.0, 30.0, 16.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
9,"[84.0, 55.0, 26.0, 15.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
9,"[84.0, 55.0, 28.0, 14.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
9,"[81.0, 55.0, 31.0, 15.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
10,"[83.0, 51.0, 42.0, 12.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
10,"[86.0, 53.0, 34.0, 12.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
10,"[87.0, 54.0, 36.0, 7.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
10,"[83.0, 53.0, 42.0, 12.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
11,"[87.0, 52.0, 36.0, 15.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
11,"[88.0, 59.0, 32.0, 15.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
11,"[90.0, 61.0, 34.0, 15.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
11,"[88.0, 57.0, 37.0, 15.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
12,"[93.0, 55.0, 33.0, 17.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
12,"[93.0, 57.0, 27.0, 14.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
12,"[93.0, 59.0, 29.0, 14.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
12,"[93.0, 58.0, 34.0, 16.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
13,"[86.0, 48.0, 32.0, 11.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
13,"[87.0, 53.0, 26.0, 11.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
13,"[89.0, 54.0, 27.0, 11.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
13,"[86.0, 53.0, 34.0, 11.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
14,"[84.0, 57.0, 30.0, 12.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
14,"[90.0, 63.0, 27.0, 7.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
14,"[91.0, 67.0, 29.0, 6.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
14,"[85.0, 64.0, 33.0, 11.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
15,"[90.0, 64.0, 32.0, 16.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
15,"[91.0, 69.0, 30.0, 16.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
15,"[92.0, 69.0, 32.0, 12.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
15,"[91.0, 68.0, 36.0, 15.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
16,"[96.0, 58.0, 31.0, 16.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
16,"[96.0, 63.0, 29.0, 14.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
16,"[96.0, 66.0, 30.0, 13.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
16,"[96.0, 62.0, 31.0, 16.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
17,"[82.0, 66.0, 33.0, 14.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
17,"[83.0, 67.0, 31.0, 15.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
17,"[86.0, 68.0, 32.0, 14.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
17,"[81.0, 67.0, 33.0, 14.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
18,"[91.0, 59.0, 30.0, 22.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
18,"[94.0, 65.0, 28.0, 20.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
18,"[95.0, 65.0, 27.0, 20.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
18,"[89.0, 63.0, 30.0, 25.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
19,"[86.0, 57.0, 24.0, 16.0, 0, 0, 0, 0, 0, 0]",0,4,0.0001,256
19,"[88.0, 58.0, 21.0, 12.0, 0, 0, 0, 0, 0, 0]",1,4,0.0001,256
19,"[88.0, 58.0, 22.0, 12.0, 0, 0, 0, 0, 0, 0]",2,4,0.0001,256
19,"[85.0, 58.0, 24.0, 16.0, 0, 0, 0, 0, 0, 0]",3,4,0.0001,256
