Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 27.0, 0, 0]",0,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",1,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",2,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",3,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",4,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",5,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",6,8,1e-05,32
1,"[5.0, 11.0, 5.0, 2.0, 28.0, 21.0, 4.0, 26.0, 0, 0]",7,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",0,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",1,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",2,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",3,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",4,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",5,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",6,8,1e-05,32
2,"[8.0, 18.0, 3.0, 3.0, 33.0, 10.0, 2.0, 23.0, 0, 0]",7,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",0,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",1,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",2,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",3,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",4,8,1e-05,32
3,"[8.0, 9.0, 9.0, 5.0, 32.0, 16.0, 1.0, 26.0, 0, 0]",5,8,1e-05,32
